No,NO-POL,No Chasis,No Mesin,Category,Count,Lokasi Aktual,Unit Type,Status,type sold,Purchase Date,Aging Inventory,Sales Date,Month,M Act,Aging  Sales,Sold type,Sold Type 2,Unit beli,nan,Biaya Rekondisi,Total COGS,Pendapatan Antar Cabang,Biaya Antar Cabang,Beginning Inventory,Actual Selling Price (exc VADN),Actual Selling Price (in VAT),Transfer Inventory,Ending Inventory,Proposed Trading Margin,Gross profit,%,"fee lelang (1,1%  x (DPP + PPN))",Trading profit,insentif (10% x gross margin),COGS After Sales,Other Revenue,Provision for slow moving stock,Net Trading profit,No Billing,No Invoice,Days_to_Sell
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,,1.0,1.0,1.0,0.75,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,,1.0,1.0,1.0,0.75,0.6666666666666666,0.25838926174496646,0.9090909090909092,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.0
0.0,0.7601713062098502,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.8779443254817988,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045656,0.0,1970-01-01 00:00:00.000045659,0.0,0.25,0.6119402985074627,0.25,0.0,0.3422818791946309,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.327217125382263,0.3684210526315789,0.37162162162162166,1.0,0.0,0.0,0.5663366336633664,0.7728194726166329,0.0,0.5663366336633664,1.0,0.0,0.0,1.0,0.5992779783393501,1.0,1.0,0.0
0.2836879432624113,0.39614561027837264,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.16916488222698073,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045656,0.0,1970-01-01 00:00:00.000045659,0.0,0.25,0.6119402985074627,0.25,0.0,0.8590604026845637,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8532110091743119,0.256140350877193,0.26013513513513514,1.0,0.0,0.0,0.8514851485148515,0.9756592292089249,0.0,0.8514851485148515,1.0,0.0,0.0,1.0,0.8357400722021661,1.0,1.0,0.0
0.36170212765957444,0.8565310492505354,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.7173447537473234,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045607,0.0,1970-01-01 00:00:00.000045664,0.0,0.16666666666666666,0.835820895522388,0.25,0.0,0.41946308724832215,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42201834862385323,0.3684210526315789,0.37162162162162166,1.0,0.0,0.0,0.38811881188118813,0.4543610547667343,0.0,0.38811881188118813,1.0,0.0,0.0,1.0,0.44584837545126355,1.0,1.0,0.0
0.43971631205673756,0.5010706638115632,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.588865096359743,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045663,0.0,1970-01-01 00:00:00.000045664,0.0,0.0,0.2537313432835821,0.25,0.0,0.6946308724832214,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6972477064220184,0.7263157894736842,0.7331081081081081,1.0,0.0,0.0,0.7049504950495049,0.716024340770791,0.0,0.7049504950495049,1.0,0.0,0.0,1.0,0.6805054151624549,1.0,1.0,0.0
0.5177304964539007,0.5182012847965739,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.7451820128479658,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045663,0.0,1970-01-01 00:00:00.000045664,0.0,0.0,0.2537313432835821,0.25,0.0,0.802013422818792,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7981651376146789,0.8350877192982457,0.8378378378378379,1.0,0.0,0.0,0.807920792079208,0.7606490872210954,0.0,0.807920792079208,1.0,0.0,0.0,1.0,0.7617328519855596,1.0,1.0,0.0
0.5957446808510638,0.5481798715203426,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.43040685224839403,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045663,0.0,1970-01-01 00:00:00.000045664,0.0,0.0,0.2537313432835821,0.25,0.0,0.7080536912751678,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7064220183486238,0.7192982456140351,0.7263513513513514,1.0,0.0,0.0,0.5683168316831684,0.6308316430020284,0.0,0.5683168316831684,1.0,0.0,0.0,1.0,0.9350180505415163,1.0,1.0,0.0
0.6737588652482269,0.1734475374732334,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.2997858672376874,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045663,0.0,1970-01-01 00:00:00.000045665,0.0,0.0,0.44776119402985076,0.25,0.0,0.9731543624161073,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.9694189602446484,0.9614035087719298,0.9662162162162162,1.0,0.0,0.0,0.6297029702970297,0.5294117647058824,0.0,0.6297029702970297,1.0,0.0,0.0,1.0,0.5090252707581228,1.0,1.0,0.0
0.75177304964539,0.7901498929336189,1.0,1.0,0.6666666666666666,0.14285714285714285,0.0,0.20342612419700215,0.16666666666666666,0.6666666666666666,1970-01-01 00:00:00.000045663,0.0,1970-01-01 00:00:00.000045665,0.0,0.0,0.44776119402985076,0.25,0.0,0.6073825503355704,0.36363636363636365,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6085626911314985,0.6280701754385966,0.6385135135135136,1.0,0.0,0.0,0.6435643564356436,0.6855983772819473,0.0,0.6435643564356436,1.0,0.0,0.0,1.0,0.6209386281588448,1.0,1.0,0.0
